Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Cross-sectoral strategies in global sustainability governance: towards a nexus approach,"Boas, I.; Biermann, F.; Kanie, N.","The recent shift from the Millennium Development Goals to the much broader Sustainable Development Goals has given further impetus to the debate on the nexus between the multiple sectors of policy-making that the Goals are to cover. The key message in this debate is that different domains—for instance, water, energy and food—are interconnected and can thus not be effectively resolved unless they are addressed as being fully interrelated and interdependent. Yet while this overall narrative is forcefully supported in the new UN 2030 Agenda for Sustainable Development and the 17 Sustainable Development Goals that are the main part of this agenda, many Goals still remain sectoral in their basic outlook. This now requires, we argue, a new focus in both policy and research on the nexus between different Sustainable Development Goals, especially with a view to reforms in the overall institutional setting that is required to sufficiently support such a nexus approach. This article thus examines the nexus approach in the context of the Sustainable Development Goals and identifies multiple avenues for its institutionalisation in global governance. © 2016, The Author(s).",2016,,Int. Envir. Agreem. Polit. Law Econ.,16,3,449-464,,10.1007/s10784-016-9321-1,,#576,Boas 2016,"",""
"Pacific connections for health, ecosystems and society: New approaches to the land-water-health nexus","Parkes, M.W.","Renewed effort to understand the social-ecological context of health is drawing attention to the dynamics of land and water resources and their combined influence on the determinants of health. A new area of research, education and policy is emerging that focuses on the landwaterhealth nexus: this orientation is applicable from small wetlands through to large-scale watersheds or river basins, and draws attention to the benefits of combined land and water governance, as well as the interrelated implications for health, ecological and societal concerns. Informed by research precedents, imperatives and collaborations emerging in Canada and parts of Oceania, this review profiles three integrative, applied approaches that are bringing attention to the importance the landwaterhealth nexus within the Pacific Basin: wetlands and watersheds as intersectoral settings to address landwaterhealth dynamics; tools to integrate health, ecological and societal dynamics at the land-water-health nexus; and indigenous leadership that is linking health and wellbeing with land and water governance. Emphasis is given to key characteristics of a new generation of inquiry and action at the land-water-health nexus, as well as capacitybuilding, practice and policy opportunities to address converging environmental, social and health objectives linked to the management and governance of land and water resources.",2016,,Rev. Environ. Health,31,1,125-130,,10.1515/reveh-2015-0064,,#581,Parkes 2016,"",""
Forest-food nexus: A topical opportunity for human well-being and silviculture,"Corona, P.; Cutini, A.; Chiavetta, U.; Paoletti, E.","As population will reach over 9 billion by 2050, interest in the forest-food nexus is rising. Forests play an important role in food production and nutrition. Forests can provide nutritionally-balanced diets, woodfuel for cooking and a broad set of ecosystem services. A large body of evidence recommends multi-functional and integrated landscape approaches to reimagine forestry and agriculture systems. Here, after an in-depth commented discussion of the literature produced in the last decade about the role for forests with respect to the food security global emergency, we summarize the state of the art in Italy as a country-case-study. This commentary aims to increase awareness about the potential of silviculture in Italy for combining ecological resilience with economic resilience, and for reasonably increasing non-wood products supply by means of a sustainable intensification of forest management at national level. Chain-supply fragmentation, landowner inertia, and lack of governance and cooperation may hamper an effective exploitation of non-wood products. The strategies to guarantee an effective supply of non-wood products require appropriate business skills and the presence of a structured business service. A transparent market is also essential; therefore, the introduction of standards (e.g. grading rules and forest certification schemes) is important since they can add value to products and services, and emphasize the importance and complexity of the forest sector. However, the implementation of sustainable forest management for an effective supply of non-wood products is affected by the availability of appropriate planning tools, and the public officers need a new mindset to stimulate and support the business capacity of forest owners.",2016,,Ann. Silvic. Res.,40,1,1-10,,10.12899/ASR-1181,,#592,Corona 2016,"",""
"China's water security: Current status, emerging challenges and future prospects","Jiang, Y.","China has been facing increasingly severe water scarcity that seriously threatens the socio-economic development and its sustainability of this country. This paper is intended to analyze and assess the water security of China. It first attempts to characterize the current status of water security within a risk-based, integrated framework that encompasses five key aspects critical to water sustainability, including water availability, water use patterns, wastewater generation and pollution control, water institutions and management, and health of aquatic systems and societal vulnerability. Based on the above assessment, the paper then analyzes emerging challenges for water security brought by climate change, population growth and rapid urbanization, and the water-food-energy nexus. In the end, the paper discusses China's future prospects on water security, including current achievements, government actions and policy initiatives, and recommendations for management improvement aimed at increasing water security. © 2015 Elsevier Ltd.",2015,,Environ. Sci. Policy,54,,106-125,,10.1016/j.envsci.2015.06.006,,#605,Jiang 2015,"Aliny Pires (2023-03-20 19:53:31)(Screen): I would not say it is providing response options perspectives, but by trying to understand water security it provide some discussion in the nexus perspectives.; ",""
Governance of transitions towards sustainable development – the water–energy–food nexus in Cyprus,"Halbe, J.; Pahl-Wostl, C.; A. Lange, M.; Velonis, C.","This paper presents a methodological framework to analyse sustainability innovations in the water–energy–food nexus and strategies for governing transition processes towards their widespread implementation. An application to a case study in Cyprus shows the interrelations of several sustainability innovations in the water, energy and food sectors, and specific learning requirements that need to be addressed to achieve a transition towards sustainable development. The framework helps to explore systematically responsibilities of different stakeholders for the implementation of innovations and thereby provides critical information for reflexive governance processes. © 2015 International Water Resources Association.",2015,,Water Int.,40,5-6,877-894,,10.1080/02508060.2015.1070328,,#609,Halbe 2015,"",""
Sustainable development and integrated water resources management,"Tejada-Guibert, J.A.; Setegn, S.G.; Stoa, R.B.","Sustainable development integrates economic development, social development, and environmental protection, with three overarching objectives and essential requirements: (1) poverty reduction, (2) changing unsustainable patterns of production and consumption, and (3) protecting and managing the natural resource base of economic and social development. Integrated water resources management (IWRM) is capable of promoting all three objectives by providing stakeholders with a framework for integrating and coordinating the various aspects of water management in a sustainable and holistic manner. This chapter relates the concept of IWRM to development in the context of the international community's sustainable development paradigm. Though there would seem to be a universal acceptance of the cross-cutting importance of water in development, relative marginalization of water at different levels has taken place because of competing interests. In the ongoing Millennium Development Goals (MDGs), there is only one target dealing specifically with water (drinking water and sanitation) within one of the eight goals (goal 7-ensure environmental sustainability). There is now a call from the water community for the adoption of a dedicated and comprehensive sustainable development goal onwater in the post-MDG follow-up. Some current topics that need to be encompassed by IWRM are succinctly addressed with reference to the recent international developments, including water security, human rights to water, gender equity, implications of climate change, governance, and the water-energy nexus.The ability of making operational the nexus of water with energy, food, health, and ecosystems by thinking ""out of the water box"" has become critically important. © Springer International Publishing Switzerland (outside the USA) 2015. All rights reserved.",2015,,"Sustain. of Integr. Water Resour. Manag.: Water Gov., Clim. and Ecohydrol.",,,197-214,,10.1007/978-3-319-12194-9_12,,#612,Tejada-Guibert 2015,"",""
Research and development priorities in water security,"Lal, R.","There exists a strong link between water security and food security. Both are affected by the water–soil–climate nexus, social and political conflicts, growing energy demand withemphasis on biofuels and the virtual water trade. Sustainable development necessitates research on site-specific and generic researchable issues on water resources and their management. In the context of food security, sustainable intensification of rainfed and irrigated croplands needs technology for an efficient conversion of blue water (rivers, lakes, ground water, and precipitation) into green water enhancing water use efficiency (WUE) and decreasing losses. the problem of excessive groundwater depletion (Ogallala in the United States, Indo-Gangetic Plains, North China Plains) must be addressed. Improving desert farming is a high priority. Water quality, affected by agriculture and industrial runoff, can cause algal bloom and anoxia in surface water. the impact of soil degradation on water quantity needs site-specific research. Water governance and policy issues are specifically relevant in water-scarce regions and trans-boundary watersheds. Growing urbanization and industrial use requires costeffective measures for safe use of gray water. the need for research focus on adaptation and mitigation of climate change, and managing the risks of extreme events cannot be overemphasized. Similar to soils, the finite world water resources must never be taken for granted. © 2015 by the American Society of Agronomy.",2015,,Agron. J.,107,4,1567-1572,,10.2134/agronj15.0046,,#616,Lal 2015,"",""
The soil–peace nexus: our common future,"Lal, R.","The strong soil–peace link is governed by the need for finite, but essential, resources intricately connected with ecosystem services and functions. Access to adequate and nutritious food is essential to human wellbeing, peace and tranquillity. The relation between soil/environmental scarcity and conflict is complex, and security can only be universal, rather than local or regional, in the present era of globalization. Civil strife and conflict can be caused by both resource paucity and rapacity. Anthropogenic perturbations leading to soil degradation, climate volatility and growing human demands (e.g., food, energy, water, minerals) derived from soil are potential flash points triggering violence at local, regional and global scales. Among different types of drought, pedological and agronomic droughts are triggered by soil degradation, decline in available water capacity of the root zone and changes in the hydrological cycle. Several regions with unstable governments are prone to water scarcity and conflicts. Soil affects world peace through its impact on the quest for victuals, which enhances the relevance of the “Peak Soil” concept. Economic development and environmental enhancement must go hand in hand, and the highest priority must be given to development of the ecosphere. Depicting soil as a work of art for portraying cultural, aesthetical and ecological values can increase public awareness. A Greener Revolution can be ushered in through judicious soil and environmental governance. Maintaining peace and harmony necessitates that soil resources are used, improved, restored and never taken for granted. © 2015 Japanese Society of Soil Science and Plant Nutrition.",2015,,Soil Sci. Plant Nutr.,61,4,566-578,,10.1080/00380768.2015.1065166,,#617,Lal 2015,"",""
Domestic and international forest regime nexus in Cameroon: An assessment of the effectiveness of REDD+ policy design strategy in the context of the climate change regime,"Mbatu, R.S.","The major goals of forest governance arrangements are sustainable forest management (SFM), poverty alleviation, and enhancement of forest biodiversity. However, in recent years, climate change mitigation, through reducing emissions from deforestation and forest degradation (REDD. +. 11The ""+"" signifies that climate change mitigation can also be attained by enhancing forest conservation and restoration.) has emerged as one of the most important aspects of forest governance arrangements. This is due to the fact that REDD. + has the potential to provide a framework for mitigating greenhouse gas emissions from deforestation and forest degradation while addressing rural poverty and conserving forest biodiversity at the same time. In other words, the REDD. + scheme provides co-benefits beyond its main goal of reducing greenhouse gas emissions. Therefore, REDD. + is seen by many forest governance experts as a scheme that has the potential to slow down deforestation in a country like Cameroon, which arguably, has the highest rate of deforestation in the Congo Basin. However, this will depend on the effectiveness of Cameroon's REDD. + policy strategy, its efficiency in meeting its objectives at the lowest cost, and its ability to equitably distribute costs and benefits associated with the scheme. This paper assesses the effectiveness of REDD. + policy design in Cameroon within the context of the climate change regime. The paper employs the policy design approach to analyze four components of Cameroon's REDD. + policy design framework - governance and institutional arrangement; emissions baseline; leakage and scale; and technical issues. An economic-based assessment of the forest transition curve and the environmental Kuznets curve (EKC) reveals limitations that could render the REDD. + scheme cost ineffective for Cameroon. The paper suggests that Cameroon would have to focus on strengthening its existing governance structures and nurturing its forest related international agreements, if it is to design a REDD. + policy strategy that is consistent with the ""nested"" climate change regime approach. © 2014 Elsevier B.V..",2015,,For. Policy Econ.,52,,46-56,,10.1016/j.forpol.2014.12.012,,#625,Mbatu 2015,"",""
"Consumers, food supply chain and the nexus","Lundqvist, J.; Liu, J.; Lundberg, J.","This chapter explores the interactions between the main actors in the food supply chain, also referred to as the food system, from producers to consumers. Governance of these interactions has implications for the use of water, land, energy and the environment, as well as for the economy. The purpose of the chapter is to highlight that the inefficiencies in the system can be significantly reduced with multiple wins. Mainstream approaches focus on production and tend to overlook externalities and trade-offs. The sizeable losses, waste and conversion of the food produced are ignored. An expansion of an increasingly wealthy and urban population poses one set of challenges. Reducing a lingering poverty poses another. On the supply side, global warming and the enhanced uncertainty and variability in water availability signal an era with unprecedented predicaments. With a multitude of drivers and an increasing resource scarcity and uncertainty, a food supply chain perspective is warranted. It helps to improve knowledge about system dynamics: how much and what is produced that is beneficially used, by various socioeconomic groups, and how much goes down the drain. Water is most heavily used in connection with production, whereas significant fractions of energy are used for processing, distribution and among consumers. Greenhouse gas (GHG) emissions dominate the first segments of the supply chain. There are significant potential savings and benefits from a reduction of losses and waste of food in terms of water, energy, money and reduced GHG emissions. Effective policy for environmental health and food security needs to include incentives and demonstrations directed towards consumers apart from policies aiming at producers. © Jamie Pittock, Karen Hussey and Stephen Dovers 2015.",2015,,"Climate, Energy and Water: Managing Trade-Offs, Seizing Opportunities",,,303-323,,10.1017/CBO9781139248792.018,,#630,Lundqvist 2015,"",""
"Cross-sectoral governance of the climate, energy and water sectors: A ‘Rubik’s cube’ analysis of cross-sectoral co-ordination","Oliver, G.; Hussey, K.","As previous chapters in this volume attest, there is a compelling case for cross-sectoral management of climate, energy and water. The interdependencies are tangible, the tradeoffs are becoming evident to the wider community and the framing of decisions that need to be taken are more focussed. This chapter approaches cross-sectoral co-ordination substantively as a matter of managing governance and institutional dynamics. Each of the sectors - climate (adaptation and mitigation), energy and water (with an emphasis here on urban water systems) - are considered within separate institution and governance frameworks. Each has their own institutional ‘logic’, comprising history, management culture, policy settings, statutory requirements, markets and operational practices (after Streeck and Thelen 2005). Many chapters in this volume are devoted to the technical aspects of the cross-sectoral nexus, but it is not until the institutional attributes of each of these sectors are defined that a systematic approach to alignment and co-ordination can be developed. Compared to the relatively mature technical analysis of climate, energy and water issues, the governance and institutional dimensions of cross-sectoral integration and co-ordination are relatively poorly examined and under-reported in the academic and policy literature (Kenway 2011). In this chapter, several key questions on cross-sectoral co-ordination are addressed: What are the governance and institutional components of the cross-sectoral ‘nexus’ that need to be managed? What are the inherent institutional similarities and differences between the climate, water and energy sectors? How do these enable or hinder effective management of this nexus? What would maximise the effectiveness of cross-sectoral governance? In answering these questions, the chapter makes two significant contributions to the literature. First, we define and explore each of these three sectors as separate ‘institutions’ and consider cross-sectoral co-ordination as a task of institutional linkage and alignment; second, we frame this co-ordination task as one of co-ordinated governance or ‘meta-governance’, a task that requires purposeful and deliberative framing and enacting of co-ordination across institutionally different sectors, separate jurisdictions or levels of authority, and modes and mechanisms of governance. © Jamie Pittock, Karen Hussey and Stephen Dovers 2015.",2015,,"Climate, Energy and Water: Managing Trade-Offs, Seizing Opportunities",,,172-197,,10.1017/CBO9781139248792.011,,#631,Oliver 2015,Brooke Williams (2024-02-04 21:18:09)(Included): Can't find online!; ,""
Stakeholder dynamics in the EU forest energy sector: Key issues to manage and ways forward,"Sluka, C.; Peck, P.C.","EU forest biomass demand is increasing rapidly under policy stimuli, as biofuels are important for EU utilities to reach EU 2020 renewables goal. The import of large amounts will be required, but stakeholders have sustainability concerns. Utilities are adopting self-regulatory certification schemes to reduce stakeholder pressures but the interplay between these efforts, stakeholder and policy dynamics, and business risks is not well understood. This study uses literature, interviews, and a survey of 120 stakeholders to delineate influential actors in the discourse, principal concerns, and ways to ameliorate opposition and risk. The work finds many actors opposed to forest energy systems, and shows how critique is directed toward a nexus of industry and policymakers. It also indicates that critics have an ascendant status and can catalyze changes in policy and business practice in response to their concerns. Key concerns involve carbon, biodiversity, and deforestation; however, it is found that self-governance systems do not yet incorporate metrics to meet emerging expectations. The study concludes that efforts must deliver robust track records of strong ecological, climate, and social performance for forest energy supply chains to allay concerns - as distinct from just 'sustainability certification'. Work must include increased efforts to source woody biomass from the EU-27+ to engender trust in forest energy actors, and scientific studies to delineate 'strong' versus 'weak' 'carbon and temporal carbon' performance for forest energy systems. This also suggests a need to delineate silvicultural regimes that facilitate the management of forest energy supply chains for improved carbon performance. © 2014 Society of Chemical Industry and John Wiley & Sons, Ltd.",2015,,Biofuel Bioprod. Biorefining,9,1,51-71,,10.1002/bbb.1501,,#635,Sluka 2015,"",""
Water governance in a comparative perspective: From IWRM to a 'nexus' approach?,"Benson, D.; Gain, A.K.; Rouillard, J.J.","Nexus thinking, in the form of integrating water security with agriculture, energy and climate concerns, is normatively argued to help better transition societies towards greener economies and the wider goal of sustainable development. Yet several issues emerge from the current debate surrounding this concept, namely the extent to which such conceptualisations are genuinely novel, whether they complement (or are replacing) existing environmental governance approaches and how - if deemed normatively desirable - the nexus can be enhanced in national contexts. This paper therefore reviews the burgeoning nexus literature to determine some common indicative criteria before examining its implementation in practice vis-à-vis more established integrated water resources management (IWRM) models. Evidence from two divergent national contexts, the UK and Bangladesh, suggests that the nexus has not usurped IWRM, while integration between water, energy, climate and agricultural policy objectives is generally limited. Scope for greater merging of nexus thinking within IWRM is then discussed.",2015,,Water Altern.,8,1,756-773,,,,#640,Benson 2015,"",""
The rise and implications of the water-energy-food nexus in Southeast Asia through an environmental justice lens,"Middleton, C.; Allouche, J.; Gyawali, D.; Allen, S.","This article maps the rise of the water-energy-food 'nexus' as a research, policy and project agenda in mainland Southeast Asia. We argue that introducing the concept of environmental justice into the nexus, especially where narratives, trade-offs and outcomes are contested, could make better use of how the nexus is framed, understood and acted upon. With funding from high-income country donors, it is found to have diffused from a global policy arena into a regional one that includes international and regional organisations, academic networks, and civil society, and national politicians and government officials. The nexus is yet to be extensively grounded, however, into national policies and practices, and broad-based local demand for nexus-framed policies is currently limited. The article contends that if the nexus is to support stated aspirations for sustainable development and poverty reduction, then it should engage more directly in identifying winners and losers in natural resource decision-making, the politics involved, and ultimately with the issue of justice. In order to do so, it links the nexus to the concept of environmental justice via boundary concepts, namely: sustainable development; the green economy; scarcity and addressing of trade-offs; and governance at, and across, the local, national and transnational scale.",2015,,Water Altern.,8,1,627-654,,,,#641,Middleton 2015,Jonathan Rhodes (2023-05-02 09:27:55)(Screen): Cross cutting issues addressed - environmental justice; ,""
"Towards a Managed Aquifer Recharge strategy for Gujarat, India: An economist's dialogue with hydro-geologists","Shah, T.","Gujarat state in Western India exemplifies all challenges of an agrarian economy founded on groundwater overexploitation sustained over decades by perverse energy subsidies. Major consequences are: secular decline in groundwater levels, deterioration of groundwater quality, rising energy cost of pumping, soaring carbon footprint of agriculture and growing financial burden of energy subsidies. In 2009, Government of Gujarat asked the present author, an economist, to chair a Taskforce of senior hydro-geologists and civil engineers to develop and recommend a Managed Aquifer Recharge (MAR) strategy for the state. This paper summarizes the recommended strategy and its underlying logic. It also describes the imperfect fusion of socio-economic and hydro-geologic perspectives that occurred in course of the working of the Taskforce and highlights the need for trans-disciplinary perspectives on groundwater governance. © 2013 Elsevier B.V.",2014,,J. Hydrol.,518,PA,94-107,,10.1016/j.jhydrol.2013.12.022,,#642,Shah 2014,"",""
"Agriculture, health, and wealth convergence: Bridging traditional food systems and modern agribusiness solutions","Dubé, L.; Webb, P.; Arora, N.K.; Pingali, P.","The causes of many vexing challenges facing 21st-century society are at the nexus of systems involved in agriculture, health and wealth production, consumption, and distribution. Using food as a test bed, and on the basis of emerging roadmaps that set achievable objectives over a 1- to 3-year horizon, we introduce this special feature with convergence thinking and practice at its core. Specifically, we discuss academic papers structured around four themes: (1) evidence for a need for convergence and underlying mechanisms at the individual and societal levels; (2) strategy for mainstreaming convergence as a driver of business engagement and innovation; (3) convergence in policy and governance; (4) convergence in metrics and methods. Academic papers under each theme are accompanied by a roadmap paper reporting on the current status of concrete transformative convergence-building projects associated with that theme. We believe that the insights provided by these papers have the potential to enable all actors throughout society to singly and collectively work to build supply and demand for nutritious food, in both traditional and modern food systems, while placing the burdens of malnutrition and ill health on their core strategic agendas. © 2014 New York Academy of Sciences.",2014,,Ann. New York Acad. Sci.,1331,1,1-14,,10.1111/nyas.12602,,#645,Dubé 2014,"",""
Recasting payments for ecosystem services (PES) in water resource management: A novel institutional approach,"Kolinjivadi, V.; Adamowski, J.; Kosoy, N.","Understanding linkages between human well-being and ecological stewardship at the land-water nexus is needed in order to develop effective, equitable, and resilient institutions to govern watershed resources. In this paper, we argue that payments for ecosystem services (PES) plays a useful role for achieving integrated and adaptive water resource management, but only if attention is drawn to: (a) nested governance arrangements which reflect horizontal coordination across space according to the economic characteristics of watershed goods and services as well as hierarchical legitimacy between higher and lower levels of governance; (b) 'payments' that are socially negotiated rather than designed according to oversimplified efficiency claims for watershed services and (c) 'payments' that are well placed to overcome the individual, social and physical constraints associated with watershed goods and services so that capabilities or the freedom to do and be can be enhanced. This paper illustrates the impossibility of effectuating sheer market-based trades for regulating, cultural and supporting ecosystem services due to their inherent non-rival characteristics. Furthermore, a heuristic approach to characterising watershed goods and services clearly demarcates the extent to which PES can serve as an implementation tool for integrated and adaptive water resources management. © 2014 Elsevier B.V.",2014,,Ecosyst. Serv.,10,,144-154,,10.1016/j.ecoser.2014.08.008,,#647,Kolinjivadi 2014,"",""
The energy-security-climate-change nexus in Brazil,"Vieira, M.A.; Dalgaard, K.G.","How do competing claims about energy-security and climate-change policies play out in the Brazilian domestic system? Has the Brazilian government's recent attempt to unite climate and energy-security narratives around the notion of 'sustainability' had a substantive impact on Brazil's energy and environmental policies? Domestic and international environmental actors have played increasingly important roles while lobbying the government to include an environmental/climate-change dimension to its energy-security approaches. However, climate-change concerns, as conventionally articulated by environmental actors, are not at the core of the government's energy policy agenda. Environmental results, which emerged in Brazil as fringe benefits of past energy-security policies, have been skilfully captured by the political leadership as a way to promote Brazil's climate-change credentials. To inform analysis of the alleged environmental sustainability of hydroelectricity and home-grown biofuels as a showpiece of Brazil's contribution to tackling climate change, the varied interpretations of energy security and their implications for climate-change interventions are explored. Empirical examination of the interaction between energy and climate policies in Brazil is followed by analysis of the Brazilian negotiating position in multilateral climate meetings. © 2013 Copyright Taylor & Francis.",2013,,Environ. Polit.,22,4,610-626,,10.1080/09644016.2013.806633,,#681,Vieira 2013,"",""
A scalable approach towards realizing tangible benefits in transboundary river basins and regions,"Granit, J.; Claassen, M.","Leaders in both developed and developing countries are increasingly exploring cooperative solutions that may fit their specific regional political economy as demand for goods and services in the water, energy and food nexus is growing. Considering the large number of transboundary river basins in the world, cooperative water management and development of these resources to promote sustainable growth and poverty reduction is paramount. States are moving from a past preoccupation with discussions of the volumetric allocation of limited water resources among States towards a wider focus on water security and benefit-sharing within a relevant marketplace. In this context, approaches to scale up cooperation and identify paths towards realizing and sharing or transferring tangible benefits from cooperative water resources management needs to be defined. The literature on transboundary water resources management and development, however, is not comprehensive in terms of offering systematic and scalable steps towards reaching development outcomes at the transboundary and regional level. In this chapter we propose a systematic approach that provides a sound basis for management and reflects on the governance context. © The Editors and Contributors Severally 2013. All rights reserved.",2013,,International Law and Freshw.: The Multiple Challenges,,,140-154,,10.4337/9781781005095.00018,,#689,Granit 2013,"",""
"Reprint of ""Can Earth system interactions be governed? Governance functions for linking climate change mitigation with land use, freshwater and biodiversity protection""","Nilsson, M.; Persson, Å.","Earth system interactions, as highlighted by the planetary boundaries framework, occur within and across natural, social and economic systems and shape global environmental change. This paper addresses the multi-level governance problem of coherently addressing key interactions between four Earth sub-systems - climate change, freshwater use, land use and biodiversity - taking into account concerns over problem shifting. After discussing possibilities for regional downscaling of the boundaries, we explore challenges for the EU region to coherently address this particular set of interacting Earth sub-systems and reduce the risk of problem shifting. This analysis demonstrates that Earth system interactions can be governed, but that they likely require comprehensive packages of governance responses across both sub-systems and levels. Three overarching governance functions are tentatively identified that directly or indirectly address Earth system interactions: reduction of system stress, risks and vulnerabilities; triggering and navigation of transformation of economic activity; and development of a diversity of options. Finally, the paper briefly discusses political and institutional challenges for developing, enabling and stabilising these governance functions. © 2012 Elsevier B.V.",2012,,Ecol. Econ.,81,,10-20,,10.1016/j.ecolecon.2012.06.020,,#695,Nilsson 2012,"",""
"Can Earth system interactions be governed? Governance functions for linking climate change mitigation with land use, freshwater and biodiversity protection","Nilsson, M.; Persson, Å.","Earth system interactions, as highlighted by the planetary boundaries framework, occur within and across natural, social and economic systems and shape global environmental change. This paper addresses the multi-level governance problem of coherently addressing key interactions between four Earth sub-systems - climate change, freshwater use, land use and biodiversity - taking into account concerns over problem shifting. After discussing possibilities for regional downscaling of the boundaries, we explore challenges for the EU region to coherently address this particular set of interacting Earth sub-systems and reduce the risk of problem shifting. This analysis demonstrates that Earth system interactions can be governed, but that they likely require comprehensive packages of governance responses across both sub-systems and levels. Three overarching governance functions are tentatively identified that directly or indirectly address Earth system interactions: reduction of system stress, risks and vulnerabilities; triggering and navigation of transformation of economic activity; and development of a diversity of options. Finally, the paper briefly discusses political and institutional challenges for developing, enabling and stabilising these governance functions. © 2012 Elsevier B.V.",2012,,Ecol. Econ.,75,,61-71,,10.1016/j.ecolecon.2011.12.015,,#699,Nilsson 2012,"",""
Perspectives on environmental management and technology in Asian river basins,"Higgitt, D.","Asian river basins are undergoing rapid transformation. This volume considers the implications of the environmental change-development nexus for water management, river health and hazard awareness. As Biswas and Tortajada (2011) have recently commented, water management in Asia will likely change more in the next twenty years than in the last 2000 years. Critical environmental trends include decreasing flows of water and sediment due to dam construction and increased water extraction, land use change (especially forest removal), encroachment and degradation of floodplain and wetland environments, increased water demand and concerns about water security, urban expansion and associated pollution of rivers and contamination of groundwater reserves. These challenges are being reframed by new approaches to water management which represent a transition from engineering-dominated approaches towards integrated water management, from technology transfer to adaptive technologies. The volume comprises an introduction and five chapters. Brierley and Callum reframe approaches to river repair within emerging theories of in ecology and earth science which regard nature as a complex adaptive system replete with inherent uncertainties. These ideas are mirrored in the four case study chapters which deal with water governance in the Mekong Basin (Hirsch); hybrid adoption of water resource technologies in India (Barbanente et al.); determination of sediment dynamics in Java Rijsdijk); and ecological conservation imperatives in the headwaters of the Yellow, Yangtze and Mekong rivers in western China (Li et al.). © The Author(s) 2012.",2012,,Perspectives on Environmental Management and Technology in Asian River Basins,,,1-122,,10.1007/978-94-007-2330-6,,#703,Higgitt 2012,"",""
Why food in health security (FIHS)?,"Wahlqvist, M.L.","Health is intrinsic to human security (HumS) although it is somewhat anthropocentric and about our own psychosocial and biomedical status more than various external threats. The 1994 United Nations Development Program definition of HumS includes economic, food, environmental, personal, community and political security with freedom from fear and want. Environmental factors are critical for health security (HealS), especially with widespread socio-economic difficulty, and health systems less affordable or accessible. The nexus between nutritionally-related disorders and infectious disease is the most pervasive world health problem. Most if not all of the Millennium Development Goals are food-linked. Maternal nutrition has life-long health effects on the yet-tobe born child. The mix of essential nutrient deprivation and energy imbalance is rife across many societies. Food systems require deeper understanding and governance to overcome these food-related health risks which are matters of food security (FoodS). Nutritionally-related Disability Adjusted Life Years (DALYS) are improving markedly in many parts of the world, along with poverty and hunger reduction and health system advances. But recent economic, energy, food, water, climate change and health crises along with conflict are limiting. It is time for international and regional understanding of how households and communities can collectively manage these threats in affordable and sustainable ways. There is untapped problem-solving capacity at the internationalisable local level if supported by combined food health systems expertise, innovation, infrastructure and governance. Principles of equity and ethics must apply. The Food in Health Security (FIHS) roundtable aims to develop a Network to facilitate this process.",2009,,Asia Pac. J. Clin. Nutr.,18,4,480-485,,,,#726,Wahlqvist 2009,"",""
Governance of the water-energy-food nexus for an integrated implementation of the 2030 Agenda: Conceptual and methodological framework for analysis,"Srigiri, Srinivasa Reddy; Dombrowsky, Ines",,2021,,,,2/2021,,,,,#2542,Srigiri 2021,"",Grey Literature
The water-energy-food nexus: A new approach in support of food security and sustainable agriculture,FAO,,2014,,Rome The Food and Agricultural Organisation of the United Nations,,,,,,,#2544,FAO 2014,"",Grey Literature
Water for food security and nutrition,"Michel, HLPE",,2015,,,,,,,,,#2545,Michel 2015,Helena Alves do Prado (2023-11-09 23:13:36)(Included): I cannot access this document. Download is pending; ,Grey Literature
Reconciling resource uses in transboundary basins: assessment of the water-food-energy-ecosystems nexus,unece,,2015,,"United Nations, New York and Geneva",,,,,,,#2546,unece 2015,"",Grey Literature
Walking the nexus talk: assessing the water-energy-food nexus in the context of the sustainable energy for all initiative,"Flammini, Alessandro; Puri, Manas; Pluschke, Lucie; Dubois, Olivier",,2014,,,,,,,,,#2547,Flammini 2014,"",Grey Literature
Implementing the water-energy-food-ecosystems nexus and achieving the sustainable development goals,"Carmona-Moreno, Cesar; Crestaz, E; Cimmarrusti, Y; Farinosi, F; Biedler, M; Amani, A; Mishra, A; Carmona-Gutierrez, A",,2021,,,,,,,,,#2548,Carmona-Moreno 2021,"",Grey Literature
Making governance work for water–energy–food nexus approaches,"Scott, Andrew",,2017,,,,,,,,,#2549,Scott 2017,"",Grey Literature
Nexus Governance: Harnessing Contending Forces at Work. Nexus Dialogue Synthesis Papers,"Gyawali, D",,2015,,"Gland, Switzerland: IUCN",,,,,,,#2550,Gyawali 2015,"",Grey Literature
Governance in the water-energy-food nexus: Gaps and future research needs,"Weitz, Nina; Strambo, Claudia; Kemp-Benedict, Eric; Nilsson, Måns",,2017,,,,,,,,,#2551,Weitz 2017,"",Grey Literature
Governing the Water-Energy-Food Nexus Approach for Creating Synergies and Managing Trade-offs,"Bao, Pham Ngoc; Mitra, Bijon Kumer; Sharma, Devesh; Islam, GM Tarekul; Thao, Pham Thi Mai; Kuyama, Tetsuo",,2018,,,,,,,,,#2552,Bao 2018,"",Grey Literature
